OBJECTID,abiebals_FS,abiebals_NHP,fagugran_FS,fagugran_NHP,fraxamer_FS,fraxamer_NHP,fraxnigr_FS,fraxnigr_NHP,fraxpenni_FS,fraxpenni_NHP,pinustro_FS,pinustro_NHP,querrubr_FS,querrubr_NHP,tsugcana_FS,tsugcana_NHP
156,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
157,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
158,1,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0
159,1,0,3,1,2,0,1,0,1,0,1,0,3,0,1,0
160,2,,1,,2,,1,,1,,2,,1,,2,
161,1,0,4,1,1,0,1,0,2,0,1,0,1,0,1,0
162,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
163,1,0,1,0,1,0,1,0,1,0,2,0,1,0,3,0
164,1,0,1,0,1,1,2,0,1,0,1,1,1,0,1,1
165,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0
166,1,0,3,1,2,0,1,0,1,0,1,0,2,0,1,0
167,1,0,4,1,1,0,1,0,2,0,1,0,1,0,1,0
168,2,1,1,1,1,0,4,1,1,0,1,0,1,0,3,1
169,1,0,2,1,1,1,1,1,1,0,1,1,1,0,1,0
170,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1
171,3,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0
172,1,0,4,1,4,1,1,0,1,0,1,0,4,0,2,0
173,1,0,3,1,3,1,1,0,1,0,1,0,1,0,1,0
174,,0,,0,,0,,0,,0,,0,,0,,0
175,3,0,2,0,1,1,1,0,1,0,1,0,1,0,2,0
176,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
177,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
178,1,0,3,1,3,1,1,0,1,0,1,0,1,0,1,0
179,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
180,1,0,2,0,1,0,1,1,1,0,1,0,1,0,2,0
181,1,1,2,0,3,0,1,1,1,0,4,1,2,0,2,1
182,2,0,2,1,2,0,1,0,1,0,1,0,1,0,1,0
183,1,0,5,1,3,1,1,1,1,0,1,0,1,0,1,0
184,3,0,1,1,1,0,1,0,1,0,1,0,1,0,2,0
185,1,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0
186,2,0,1,0,1,0,5,1,1,0,1,0,1,0,3,1
187,1,0,4,1,2,0,1,0,1,0,1,0,1,0,2,0
188,1,0,5,1,2,0,1,0,1,0,1,0,1,0,1,0
189,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
190,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
191,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
192,1,0,2,1,2,0,1,0,1,0,1,0,1,0,4,0
193,1,0,2,1,2,0,1,0,1,0,1,0,1,0,1,0
194,1,0,1,1,1,0,1,0,1,0,2,0,2,0,2,1
195,2,,1,,1,,1,,1,,4,,1,,3,
196,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
197,1,0,4,1,4,1,1,0,1,0,1,0,1,0,1,0
198,1,0,3,1,1,0,1,0,1,0,1,1,1,0,1,1
199,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
200,1,0,1,0,2,0,1,1,1,0,1,0,1,0,1,0
201,2,0,2,1,1,1,2,0,1,0,1,0,1,0,3,1
202,1,0,3,1,2,0,1,0,1,0,1,0,1,0,1,0
203,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
204,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,1
205,3,0,1,0,3,0,1,0,1,0,2,0,1,0,3,1
206,1,0,2,1,2,1,1,0,1,0,1,0,1,0,4,1
207,1,0,4,1,1,0,1,0,2,0,1,0,1,0,1,0
208,1,1,4,1,1,1,1,1,1,0,1,0,1,1,1,1
209,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
210,1,0,2,1,2,0,1,0,1,0,1,0,1,0,1,0
211,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
212,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
213,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,1
214,2,0,1,1,2,0,1,0,1,0,2,0,1,0,2,1
215,2,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
216,1,0,5,1,1,1,1,0,1,0,1,0,1,0,1,0
217,1,0,3,1,4,1,1,0,1,0,1,0,1,0,1,1
218,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
219,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
220,2,0,2,1,1,1,1,0,1,0,2,0,1,0,2,1
221,2,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
222,1,0,4,1,2,1,1,0,1,0,1,0,1,0,2,0
223,1,1,2,0,1,0,1,1,1,0,1,1,1,0,3,1
224,1,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0
225,2,1,2,0,1,0,1,0,1,0,1,1,1,0,1,0
226,1,1,3,0,3,0,1,0,1,0,2,0,1,0,1,1
227,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
228,1,0,3,1,4,0,1,0,1,0,1,0,1,0,3,0
229,5,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
230,1,0,2,1,1,0,1,0,1,0,1,0,1,0,3,0
231,2,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
232,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
233,1,0,3,1,2,0,1,0,1,0,2,0,2,0,4,0
234,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
235,2,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
236,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
237,1,1,4,0,1,0,1,0,1,0,1,0,1,0,2,1
238,1,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
239,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
240,2,0,2,1,1,0,1,0,1,0,1,0,1,0,4,0
241,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
